arena_api  | {"time":"2026-06-25T17:28:30.112798393Z","level":"INFO","msg":"http.request.completed","app":"arena-api","env":"development","version":"0.1.0-dev","commit":"local","request_id":"019effd3-7aa0-77cf-a28d-29279c9598e7","trace_id":"f7c947536d270d2b90da281c29f34283","method":"GET","route":"/healthz","status":200,"latency_ms":0.161,"bytes_in":0,"bytes_out":16,"user_agent":"Go-http-client/1.1"}
arena_api  | {"time":"2026-06-25T17:29:00.178623056Z","level":"INFO","msg":"http request start","app":"arena-api","env":"development","version":"0.1.0-dev","commit":"local","request_id":"019effd3-f012-78a0-a530-bd3996a5797b","trace_id":"8bf4d6f9a80bb7ff075a6d58ea1f14f3","method":"GET","path":"/healthz","remote_addr":"[::1]:58320"}
arena_api  | {"time":"2026-06-25T17:29:00.178659914Z","level":"INFO","msg":"http.request.completed","app":"arena-api","env":"development","version":"0.1.0-dev","commit":"local","request_id":"019effd3-f012-78a0-a530-bd3996a5797b","trace_id":"8bf4d6f9a80bb7ff075a6d58ea1f14f3","method":"GET","route":"/healthz","status":200,"latency_ms":0.04,"bytes_in":0,"bytes_out":16,"user_agent":"Go-http-client/1.1"}
arena_api  | {"time":"2026-06-25T17:29:30.225833177Z","level":"INFO","msg":"http request start","app":"arena-api","env":"development","version":"0.1.0-dev","commit":"local","request_id":"019effd4-6571-7bd8-961c-293d167c199d","trace_id":"1a077231f272a362124dad178c995943","method":"GET","path":"/healthz","remote_addr":"[::1]:45172"}
arena_api  | {"time":"2026-06-25T17:29:30.225880132Z","level":"INFO","msg":"http.request.completed","app":"arena-api","env":"development","version":"0.1.0-dev","commit":"local","request_id":"019effd4-6571-7bd8-961c-293d167c199d","trace_id":"1a077231f272a362124dad178c995943","method":"GET","route":"/healthz","status":200,"latency_ms":0.05,"bytes_in":0,"bytes_out":16,"user_agent":"Go-http-client/1.1"}
arena_api  | {"time":"2026-06-25T17:30:00.267350766Z","level":"INFO","msg":"http request start","app":"arena-api","env":"development","version":"0.1.0-dev","commit":"local","request_id":"019effd4-dacb-7495-88b9-042259db44ba","trace_id":"2b9c7dd648d69a73fb272e6e2d46d17c","method":"GET","path":"/healthz","remote_addr":"[::1]:47184"}
arena_api  | {"time":"2026-06-25T17:30:00.267386236Z","level":"INFO","msg":"http.request.completed","app":"arena-api","env":"development","version":"0.1.0-dev","commit":"local","request_id":"019effd4-dacb-7495-88b9-042259db44ba","trace_id":"2b9c7dd648d69a73fb272e6e2d46d17c","method":"GET","route":"/healthz","status":200,"latency_ms":0.038,"bytes_in":0,"bytes_out":16,"user_agent":"Go-http-client/1.1"}
arena_api  | {"time":"2026-06-25T17:30:09.879181588Z","level":"INFO","msg":"http request start","app":"arena-api","env":"development","version":"0.1.0-dev","commit":"local","request_id":"019effd5-0057-71c7-9f8e-1074ceddfd15","trace_id":"eb8335bf5b59332ca0eb055746bc42d8","method":"GET","path":"/healthz","remote_addr":"172.29.0.1:51110"}
arena_api  | {"time":"2026-06-25T17:30:09.879218882Z","level":"INFO","msg":"http.request.completed","app":"arena-api","env":"development","version":"0.1.0-dev","commit":"local","request_id":"019effd5-0057-71c7-9f8e-1074ceddfd15","trace_id":"eb8335bf5b59332ca0eb055746bc42d8","method":"GET","route":"/healthz","status":200,"latency_ms":0.04,"bytes_in":0,"bytes_out":16,"user_agent":"curl/8.15.0"}
arena_api  | {"time":"2026-06-25T17:30:09.911424416Z","level":"INFO","msg":"http request start","app":"arena-api","env":"development","version":"0.1.0-dev","commit":"local","request_id":"019effd5-0077-75c3-aa31-fac885e2f88a","trace_id":"3a7138c002a6a65720aab27a068e2cc4","method":"GET","path":"/readyz","remote_addr":"172.29.0.1:51120"}
arena_api  | {"time":"2026-06-25T17:30:09.911529072Z","level":"INFO","msg":"http.request.completed","app":"arena-api","env":"development","version":"0.1.0-dev","commit":"local","request_id":"019effd5-0077-75c3-aa31-fac885e2f88a","trace_id":"3a7138c002a6a65720aab27a068e2cc4","method":"GET","route":"/readyz","status":200,"latency_ms":0.106,"bytes_in":0,"bytes_out":46,"user_agent":"curl/8.15.0"}
